utc_time,local_time,temp,voltage,light_reading_MSAS,record_type,moonphase_deg,moonelev_deg,moonillumination,sunelev_deg,date,nightdate
2025-07-11T22:44:13Z,2025-07-11T20:14:13Z,21.5,5,6.05,0,-13.5,-15.575,98.6,5.682,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T22:45:05Z,2025-07-11T20:15:05Z,19.9,4.97,10.29,1,-13.5,-15.44,98.6,5.553,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T22:50:05Z,2025-07-11T20:20:05Z,19.3,4.96,10.47,1,-13.6,-14.665,98.6,4.812,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T22:55:05Z,2025-07-11T20:25:05Z,19,4.96,10.69,1,-13.6,-13.893,98.6,4.077,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:00:05Z,2025-07-11T20:30:05Z,18.6,4.96,11.5,1,-13.6,-13.124,98.6,3.349,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:05:05Z,2025-07-11T20:35:05Z,18,4.96,11.97,1,-13.7,-12.36,98.6,2.627,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:10:05Z,2025-07-11T20:40:05Z,17.4,4.96,8.97,1,-13.7,-11.6,98.6,1.912,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:15:05Z,2025-07-11T20:45:05Z,17.4,4.96,7.07,1,-13.8,-10.843,98.6,1.204,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:20:05Z,2025-07-11T20:50:05Z,16.7,4.95,7.55,1,-13.8,-10.092,98.6,0.503,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:25:05Z,2025-07-11T20:55:05Z,16.1,4.96,8.08,1,-13.8,-9.345,98.5,-0.19,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:30:05Z,2025-07-11T21:00:05Z,15.7,4.96,8.6,1,-13.9,-8.602,98.5,-0.876,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:35:05Z,2025-07-11T21:05:05Z,15.4,4.95,9.18,1,-13.9,-7.865,98.5,-1.554,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:40:05Z,2025-07-11T21:10:05Z,15.1,4.96,9.93,1,-14,-7.132,98.5,-2.224,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:45:05Z,2025-07-11T21:15:05Z,14.8,4.95,10.65,1,-14,-6.405,98.5,-2.885,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:50:05Z,2025-07-11T21:20:05Z,14.5,4.96,11.33,1,-14,-5.684,98.5,-3.538,2025-07-11T00:00:00Z,2025-07-11
2025-07-11T23:55:05Z,2025-07-11T21:25:05Z,14.5,4.95,11.86,1,-14.1,-4.968,98.5,-4.182,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:00:05Z,2025-07-11T21:30:05Z,14.1,4.95,12.78,1,-14.1,-4.257,98.5,-4.817,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:05:05Z,2025-07-11T21:35:05Z,14.1,4.96,13.81,1,-14.2,-3.553,98.5,-5.442,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:10:05Z,2025-07-11T21:40:05Z,13.8,4.95,14.18,1,-14.2,-2.855,98.5,-6.058,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:15:05Z,2025-07-11T21:45:05Z,13.8,4.95,14.82,1,-14.2,-2.163,98.5,-6.665,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:20:05Z,2025-07-11T21:50:05Z,13.8,4.95,15.64,1,-14.3,-1.478,98.5,-7.261,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:25:05Z,2025-07-11T21:55:05Z,13.8,4.96,16.75,1,-14.3,-0.8,98.4,-7.846,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:30:05Z,2025-07-11T22:00:05Z,13.8,4.96,17.48,1,-14.4,-0.128,98.4,-8.422,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:35:05Z,2025-07-11T22:05:05Z,13.5,4.95,17.96,1,-14.4,0.536,98.4,-8.986,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:40:05Z,2025-07-11T22:10:05Z,13.5,4.95,18.19,1,-14.4,1.193,98.4,-9.539,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:45:05Z,2025-07-11T22:15:05Z,13.5,4.96,18.37,1,-14.5,1.842,98.4,-10.081,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:50:05Z,2025-07-11T22:20:05Z,13.2,4.95,18.89,1,-14.5,2.484,98.4,-10.611,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T00:55:05Z,2025-07-11T22:25:05Z,13.2,4.95,19.14,1,-14.6,3.118,98.4,-11.129,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:00:05Z,2025-07-11T22:30:05Z,13.2,4.95,19.54,1,-14.6,3.743,98.4,-11.635,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:05:05Z,2025-07-11T22:35:05Z,12.8,4.95,20.13,1,-14.6,4.36,98.4,-12.129,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:10:05Z,2025-07-11T22:40:05Z,12.8,4.95,20.43,1,-14.7,4.968,98.4,-12.61,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:15:05Z,2025-07-11T22:45:05Z,12.8,4.95,20.49,1,-14.7,5.568,98.4,-13.077,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:20:05Z,2025-07-11T22:50:05Z,12.8,4.95,20.55,1,-14.8,6.158,98.4,-13.532,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:25:05Z,2025-07-11T22:55:05Z,12.8,4.95,20.66,1,-14.8,6.74,98.3,-13.973,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:30:05Z,2025-07-11T23:00:05Z,12.5,4.95,20.57,1,-14.8,7.311,98.3,-14.4,2025-07-11T00:00:00Z,2025-07-11
2025-07-12T01:35:05Z,2025-07-11T23:05:05Z,12.5,4.95,20.43,1,-14.9,7.873,98.3,-14.813,2025-07-11T00:00:00Z,2025-07-11
