utc_time,local_time,temp,voltage,light_reading_MSAS,record_type,moonphase_deg,moonelev_deg,moonillumination,sunelev_deg,date,nightdate
2025-05-23T13:40:05Z,2025-05-23T11:10:05Z,9.9,4.96,5.99,1,-130,44.873,17.9,55.64,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T13:45:05Z,2025-05-23T11:15:05Z,9.6,4.96,6.02,1,-130,44.445,17.9,56.269,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T13:50:05Z,2025-05-23T11:20:05Z,9.3,4.96,5.88,1,-130.1,43.998,17.8,56.88,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T13:55:05Z,2025-05-23T11:25:05Z,9,4.96,5.96,1,-130.1,43.533,17.8,57.471,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T15:15:05Z,2025-05-23T12:45:05Z,8.3,4.96,5.89,1,-130.9,34.105,17.3,63.318,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T15:20:05Z,2025-05-23T12:50:05Z,8.7,4.96,5.93,1,-130.9,33.419,17.3,63.398,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T15:25:05Z,2025-05-23T12:55:05Z,8.7,4.96,5.99,1,-131,32.724,17.2,63.44,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T15:28:19Z,2025-05-23T12:58:19Z,9.6,5.05,8.06,0,-131,32.271,17.2,63.446,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T22:35:05Z,2025-05-23T20:05:05Z,1.9,4.96,6.17,1,-135,-28.415,14.6,4.411,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T22:40:05Z,2025-05-23T20:10:05Z,1.9,4.96,6.22,1,-135.1,-28.821,14.6,3.653,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T22:45:05Z,2025-05-23T20:15:05Z,2.2,4.95,6.58,1,-135.1,-29.211,14.6,2.9,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T22:50:05Z,2025-05-23T20:20:05Z,1.9,4.96,6.71,1,-135.2,-29.585,14.5,2.155,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T22:55:05Z,2025-05-23T20:25:05Z,1.9,4.95,6.88,1,-135.2,-29.942,14.5,1.415,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:00:05Z,2025-05-23T20:30:05Z,1.9,4.96,7.28,1,-135.3,-30.282,14.5,0.682,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:05:05Z,2025-05-23T20:35:05Z,1.9,4.95,7.89,1,-135.3,-30.605,14.4,-0.044,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:10:05Z,2025-05-23T20:40:05Z,1.9,4.95,8.36,1,-135.4,-30.911,14.4,-0.762,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:15:05Z,2025-05-23T20:45:05Z,1.9,4.96,8.87,1,-135.4,-31.198,14.4,-1.474,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:20:05Z,2025-05-23T20:50:05Z,1.9,4.96,9.52,1,-135.5,-31.468,14.4,-2.178,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:25:05Z,2025-05-23T20:55:05Z,1.9,4.96,10.24,1,-135.5,-31.719,14.3,-2.874,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:30:05Z,2025-05-23T21:00:05Z,1.9,4.95,10.95,1,-135.6,-31.952,14.3,-3.562,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:35:05Z,2025-05-23T21:05:05Z,1.9,4.96,11.68,1,-135.6,-32.165,14.3,-4.241,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:40:05Z,2025-05-23T21:10:05Z,1.9,4.96,12.55,1,-135.7,-32.36,14.2,-4.913,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:45:05Z,2025-05-23T21:15:05Z,1.9,4.96,13.56,1,-135.7,-32.535,14.2,-5.575,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:50:05Z,2025-05-23T21:20:05Z,1.9,4.96,14.48,1,-135.8,-32.691,14.2,-6.228,2025-05-23T00:00:00Z,2025-05-23
2025-05-23T23:55:05Z,2025-05-23T21:25:05Z,1.9,4.95,15.4,1,-135.8,-32.827,14.1,-6.872,2025-05-23T00:00:00Z,2025-05-23
